epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.67394,0.48246,2.59642,0.95554,0.66128,0.26667,0.28344,0.22118,1.00206,1.74041,1.20574,0.00034296,0.00034296,0.00034296
2,7.75511,0.53302,1.70149,0.96616,0.98616,0.29593,0.3087,0.23295,1.02279,1.07592,1.25322,0.000686346,0.000686346,0.000686346
3,11.3739,0.54032,0.96586,0.97115,0.99049,0.28718,0.31015,0.23037,1.02236,1.07447,1.263,0.00101558,0.00101558,0.00101558
4,14.384,0.58503,0.76718,0.99882,0.97882,0.28718,0.30127,0.23128,0.99785,0.87854,1.22825,0.00133068,0.00133068,0.00133068
5,17.2493,0.62503,0.73369,0.98876,0.98085,0.29445,0.30762,0.23964,0.93092,0.70991,1.188,0.00131582,0.00131582,0.00131582
6,20.1477,0.61693,0.6373,1.01946,0.98609,0.29487,0.30574,0.22551,1.08005,0.75412,1.30497,0.00128753,0.00128753,0.00128753
7,23.1385,0.62245,0.58815,1.00561,0.97068,0.28462,0.30591,0.23231,1.00503,0.7281,1.20732,0.00125923,0.00125923,0.00125923
8,26.1613,0.61458,0.57106,1.00596,0.97561,0.28974,0.30053,0.22131,1.07519,0.68984,1.33114,0.00123094,0.00123094,0.00123094
9,28.9753,0.61545,0.54461,1.00901,0.98414,0.28462,0.32025,0.24059,0.997,0.73579,1.2381,0.00120265,0.00120265,0.00120265
10,31.8347,0.61306,0.51309,0.99206,0.98528,0.29231,0.31697,0.24116,0.94145,0.72919,1.20316,0.00117435,0.00117435,0.00117435
11,34.7101,0.61464,0.50002,1.00162,0.97808,0.29137,0.30631,0.2396,0.92164,0.6936,1.2215,0.00114606,0.00114606,0.00114606
12,37.7479,0.62869,0.50296,1.01057,0.9886,0.2897,0.31463,0.23955,1.07199,0.72573,1.34107,0.00111776,0.00111776,0.00111776
13,40.6655,0.59869,0.47411,1.01226,0.98236,0.29231,0.31743,0.23314,1.08828,0.74208,1.30556,0.00108947,0.00108947,0.00108947
14,43.5058,0.59123,0.45107,1.01261,0.98512,0.29744,0.33028,0.23852,0.99808,0.68119,1.25564,0.00106118,0.00106118,0.00106118
15,46.3737,0.57158,0.45194,0.98376,0.99023,0.27949,0.35871,0.24609,0.97995,0.76265,1.21181,0.00103288,0.00103288,0.00103288
16,49.2898,0.54549,0.43093,0.97956,0.98205,0.28974,0.33625,0.24702,0.99806,0.77334,1.23768,0.00100459,0.00100459,0.00100459
17,52.302,0.53849,0.42723,0.97016,0.98216,0.28974,0.34631,0.24839,1.03083,0.73913,1.29434,0.000976293,0.000976293,0.000976293
18,55.2588,0.54259,0.42624,0.97694,0.98234,0.28974,0.33606,0.25132,1.01622,0.70006,1.29065,0.000947999,0.000947999,0.000947999
19,58.292,0.54259,0.40292,0.97381,0.98273,0.29231,0.34527,0.24701,1.03884,0.71671,1.2914,0.000919704,0.000919704,0.000919704
20,61.1828,0.54795,0.41313,0.97268,0.97845,0.29683,0.48984,0.27795,0.97661,0.74603,1.23243,0.00089141,0.00089141,0.00089141
21,64.138,0.52753,0.38976,0.95348,0.64731,0.29231,0.40143,0.25008,1.1292,0.77268,1.36217,0.000863116,0.000863116,0.000863116
22,67.2288,0.56326,0.39428,0.98149,0.98772,0.28462,0.3365,0.24409,1.03858,0.64311,1.35365,0.000834822,0.000834822,0.000834822
23,70.1249,0.52989,0.37706,0.95358,0.98952,0.28205,0.34013,0.24903,1.02785,0.68753,1.34471,0.000806528,0.000806528,0.000806528
24,73.0165,0.51202,0.35879,0.95133,0.97569,0.29744,0.34098,0.24676,1.09833,0.72116,1.39368,0.000778233,0.000778233,0.000778233
25,75.8261,0.5067,0.36067,0.96353,0.97984,0.28462,0.32125,0.24673,0.99509,0.66438,1.31573,0.000749939,0.000749939,0.000749939
26,78.7719,0.5047,0.37211,0.95068,0.98316,0.28922,0.33236,0.24796,0.98498,0.64825,1.28506,0.000721645,0.000721645,0.000721645
27,81.6082,0.49585,0.37052,0.93494,0.98611,0.29482,0.33082,0.24449,0.99356,0.67901,1.26601,0.000693351,0.000693351,0.000693351
28,84.5751,0.50871,0.3587,0.9574,0.98818,0.29231,0.36577,0.25972,1.03717,0.65238,1.35698,0.000665057,0.000665057,0.000665057
29,87.4676,0.48554,0.34843,0.93883,0.98825,0.29487,0.337,0.24938,1.03754,0.69055,1.32597,0.000636762,0.000636762,0.000636762
30,90.4852,0.49115,0.35173,0.9448,0.98083,0.30256,0.3372,0.24718,1.01962,0.66261,1.35008,0.000608468,0.000608468,0.000608468
31,93.335,0.47164,0.33634,0.95044,0.98128,0.28974,0.33769,0.24791,1.02074,0.68504,1.33647,0.000580174,0.000580174,0.000580174
32,96.2377,0.4448,0.32013,0.92922,0.98236,0.28718,0.38287,0.26933,1.02274,0.68679,1.3009,0.00055188,0.00055188,0.00055188
33,99.031,0.46298,0.32449,0.93693,0.97808,0.29139,0.3652,0.26113,1.01056,0.61281,1.33288,0.000523586,0.000523586,0.000523586
34,101.979,0.4697,0.33807,0.92992,0.98289,0.29231,0.38652,0.27653,1.04851,0.62699,1.37525,0.000495291,0.000495291,0.000495291
35,104.91,0.44585,0.32755,0.92841,0.41738,0.6359,0.55395,0.30678,1.07394,0.62693,1.40529,0.000466997,0.000466997,0.000466997
36,107.812,0.44107,0.30555,0.92147,0.94564,0.30264,0.52046,0.32699,1.0477,0.64733,1.39393,0.000438703,0.000438703,0.000438703
37,110.668,0.42787,0.30374,0.91105,0.98566,0.29231,0.4618,0.28826,1.04992,0.71834,1.34431,0.000410409,0.000410409,0.000410409
38,113.566,0.43444,0.31092,0.92759,0.98597,0.29171,0.42292,0.27673,0.98936,0.68191,1.3148,0.000382115,0.000382115,0.000382115
39,116.778,0.40904,0.29677,0.92449,0.61133,0.30256,0.47664,0.29429,1.00718,0.64005,1.32726,0.00035382,0.00035382,0.00035382
40,119.662,0.44423,0.30853,0.93634,0.62328,0.30256,0.48793,0.30592,1.00187,0.62492,1.34935,0.000325526,0.000325526,0.000325526
41,123.919,0.42455,0.3085,0.91641,0.98355,0.29642,0.4178,0.28098,1.01725,0.65693,1.34264,0.000297232,0.000297232,0.000297232
42,126.942,0.40384,0.29499,0.90469,0.98356,0.29655,0.38726,0.27043,0.97937,0.65337,1.32491,0.000268938,0.000268938,0.000268938
43,129.893,0.41096,0.28676,0.91083,0.97827,0.29416,0.35735,0.25391,1.01588,0.67561,1.33891,0.000240644,0.000240644,0.000240644
44,132.857,0.40054,0.29251,0.90019,0.98298,0.29231,0.35582,0.25885,1.00188,0.72046,1.34788,0.000212349,0.000212349,0.000212349
45,135.722,0.40726,0.29079,0.91688,0.98547,0.29231,0.37907,0.2664,1.01641,0.72454,1.3546,0.000184055,0.000184055,0.000184055
46,138.641,0.40885,0.28814,0.91818,0.98448,0.29231,0.39759,0.27148,1.00392,0.68017,1.34461,0.000155761,0.000155761,0.000155761
47,141.54,0.40173,0.2858,0.90807,0.98879,0.29461,0.36747,0.26262,0.99011,0.65473,1.341,0.000127467,0.000127467,0.000127467
48,144.435,0.38675,0.28553,0.89764,0.98435,0.29231,0.36194,0.25958,0.97921,0.65406,1.32221,9.91726e-05,9.91726e-05,9.91726e-05
49,147.321,0.38645,0.27467,0.90499,0.98501,0.29231,0.36801,0.26401,0.9836,0.65241,1.32334,7.08784e-05,7.08784e-05,7.08784e-05
50,150.212,0.39334,0.2806,0.90263,0.98556,0.29231,0.36517,0.26529,0.98578,0.65717,1.32903,4.25842e-05,4.25842e-05,4.25842e-05
