epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9241,1.11918,0.94715,1.37212,0.93596,0.86508,0.93636,0.61046,1.12934,0.68958,1.50866,0.000657778,0.000657778,0.000657778
2,18.8809,1.14303,0.91792,1.38516,0.69319,0.76984,0.76334,0.4415,1.27371,1.35303,1.583,0.001272,0.001272,0.001272
3,26.9156,1.17231,0.93116,1.4108,0.71279,0.75397,0.74711,0.32794,1.80796,1.33124,1.96493,0.00183342,0.00183342,0.00183342
4,34.8386,1.17279,0.9209,1.42458,0.93057,0.85103,0.93195,0.62509,1.08706,0.68696,1.49381,0.0017624,0.0017624,0.0017624
5,42.9319,1.16644,0.89857,1.41165,0.92483,0.80159,0.88817,0.59441,1.0618,0.76614,1.40212,0.0016832,0.0016832,0.0016832
6,50.7735,1.10665,0.83475,1.36567,0.89462,0.8085,0.88932,0.57574,1.2473,0.81437,1.58098,0.001604,0.001604,0.001604
7,58.4864,1.09898,0.81458,1.35993,0.86655,0.79365,0.89521,0.61319,1.02913,0.7421,1.38677,0.0015248,0.0015248,0.0015248
8,66.3453,1.09292,0.79035,1.35366,0.93866,0.85016,0.9244,0.6249,1.081,0.6299,1.40709,0.0014456,0.0014456,0.0014456
9,74.0949,1.06982,0.76181,1.3325,0.94933,0.87302,0.92569,0.63489,1.09399,0.67468,1.43339,0.0013664,0.0013664,0.0013664
10,81.8392,1.02142,0.73574,1.31276,0.98237,0.8846,0.9415,0.65595,0.99162,0.5753,1.31685,0.0012872,0.0012872,0.0012872
11,89.7402,1.01143,0.72047,1.30743,0.93724,0.86508,0.92244,0.63202,1.12365,0.64133,1.42777,0.001208,0.001208,0.001208
12,97.5143,1.01135,0.70632,1.31239,0.92639,0.87302,0.94048,0.64246,1.08764,0.62292,1.46378,0.0011288,0.0011288,0.0011288
13,105.537,0.97493,0.67678,1.2918,0.90897,0.87179,0.94101,0.668,1.00512,0.66994,1.35953,0.0010496,0.0010496,0.0010496
14,113.243,0.96574,0.66411,1.26863,0.93132,0.86096,0.94369,0.67571,0.96034,0.56089,1.33921,0.0009704,0.0009704,0.0009704
15,121.097,0.95419,0.63937,1.2711,0.94509,0.90476,0.95214,0.67695,0.96868,0.553,1.30181,0.0008912,0.0008912,0.0008912
16,130.09,0.90109,0.60801,1.35466,0.94912,0.88823,0.94825,0.62646,1.23875,0.62538,1.55989,0.000812,0.000812,0.000812
17,137.689,0.86902,0.54903,1.31525,0.97291,0.85496,0.95717,0.66159,1.07432,0.57973,1.41673,0.0007328,0.0007328,0.0007328
18,145.328,0.85273,0.52612,1.29545,0.98342,0.86508,0.9544,0.68549,0.98926,0.56442,1.35262,0.0006536,0.0006536,0.0006536
19,153.287,0.81578,0.50439,1.26474,0.94927,0.89101,0.94617,0.68185,1.11524,0.57744,1.46548,0.0005744,0.0005744,0.0005744
20,160.928,0.78363,0.48488,1.2592,0.89945,0.92299,0.95647,0.67665,1.1412,0.55116,1.47835,0.0004952,0.0004952,0.0004952
21,168.58,0.75434,0.46083,1.24262,0.96812,0.88889,0.94696,0.67279,0.99218,0.56168,1.34899,0.000416,0.000416,0.000416
22,176.079,0.73212,0.45113,1.20826,0.92596,0.8933,0.94991,0.69742,0.96053,0.51201,1.29617,0.0003368,0.0003368,0.0003368
23,183.7,0.69576,0.4255,1.18654,0.93966,0.89683,0.95062,0.68488,0.94309,0.54348,1.29242,0.0002576,0.0002576,0.0002576
24,191.182,0.66584,0.40783,1.17101,0.95231,0.88889,0.95557,0.70019,1.01595,0.5357,1.36463,0.0001784,0.0001784,0.0001784
25,198.849,0.66778,0.40778,1.16879,0.91986,0.92063,0.95831,0.68517,1.00876,0.52792,1.3551,9.92e-05,9.92e-05,9.92e-05
