epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6367,1.51325,2.58379,1.77022,0.00383,0.90196,0.70777,0.37203,1.12366,3.19095,1.59014,0.00022,0.00022,0.00022
2,95.809,1.24327,1.68275,1.50869,0.004,0.94118,0.66348,0.35083,1.36776,3.10917,1.9007,0.000448615,0.000448615,0.000448615
3,143.845,1.22498,1.60849,1.49071,0.81384,0.25728,0.60713,0.23278,1.56009,3.16525,2.1856,0.00066535,0.00066535,0.00066535
4,191.1,1.31316,1.69996,1.5788,0.52345,0.45098,0.37497,0.11025,1.80252,3.44038,2.36252,0.000870205,0.000870205,0.000870205
5,243.002,1.25555,1.57869,1.55277,0.73681,0.72549,0.75091,0.37709,1.59395,2.50124,2.40716,0.00106318,0.00106318,0.00106318
6,323.164,1.29524,1.44214,1.52549,0.76155,0.75157,0.7383,0.37582,1.54559,2.45263,2.23789,0.00124427,0.00124427,0.00124427
7,400.465,1.35087,1.49535,1.56587,0.47792,0.37702,0.4012,0.17706,2.19276,3.36659,2.82237,0.00141349,0.00141349,0.00141349
8,462.985,1.31329,1.44889,1.53721,0.4864,0.43137,0.36123,0.13752,1.99019,5.2557,3.09786,0.00157083,0.00157083,0.00157083
9,513.844,1.2527,1.44395,1.53112,0.61725,0.56863,0.59289,0.28543,1.49393,4.47974,2.44771,0.001604,0.001604,0.001604
10,568.608,1.27022,1.3453,1.50778,0.5019,0.59278,0.51834,0.25257,1.50094,2.65584,2.23051,0.0015545,0.0015545,0.0015545
11,630.821,1.27138,1.3197,1.52819,0.54972,0.67032,0.58907,0.32657,1.4064,2.66839,1.92237,0.001505,0.001505,0.001505
