epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1874,1.23416,1.50411,1.49221,0.89045,0.797,0.84617,0.44793,1.35368,2.13109,1.82056,0.00022,0.00022,0.00022
2,147.184,1.13721,1.2829,1.39812,0.64787,0.79375,0.74736,0.46331,1.44289,2.08289,2.14153,0.000448615,0.000448615,0.000448615
3,229.414,1.07594,1.23989,1.35893,0.80438,0.78431,0.77954,0.33071,1.51308,2.18465,1.94224,0.00066535,0.00066535,0.00066535
4,302.814,1.16834,1.3448,1.46587,0.88795,0.76471,0.85809,0.44165,1.39489,1.96628,1.99693,0.000870205,0.000870205,0.000870205
5,384.569,1.1237,1.28173,1.42858,0.51387,0.60784,0.5146,0.21016,1.96593,2.3063,2.62458,0.00106318,0.00106318,0.00106318
6,475.516,1.15927,1.20566,1.42953,0.74948,0.52941,0.61053,0.24774,1.86928,2.10353,2.64659,0.00124427,0.00124427,0.00124427
7,558.691,1.27252,1.25656,1.50577,0.74971,0.68627,0.73602,0.31445,1.96246,2.16089,2.40161,0.00141349,0.00141349,0.00141349
8,607.077,1.24697,1.24445,1.49224,0.82412,0.88235,0.90808,0.5197,1.30755,1.50508,1.84986,0.00157083,0.00157083,0.00157083
9,655.725,1.25689,1.26096,1.53369,0.84893,0.62745,0.74952,0.41213,1.6634,1.96694,2.28653,0.001604,0.001604,0.001604
10,711.103,1.24653,1.27597,1.4814,0.72742,0.73267,0.7811,0.37768,1.55108,2.1999,2.35459,0.0015545,0.0015545,0.0015545
11,768.568,1.22653,1.26466,1.48822,0.38191,0.39216,0.35869,0.07058,2.91414,4.41613,4.09796,0.001505,0.001505,0.001505
12,825.428,1.25416,1.20066,1.49328,0.42334,0.68627,0.53365,0.25465,1.87475,2.76713,3.0382,0.0014555,0.0014555,0.0014555
13,882.04,1.21576,1.12047,1.43215,0.64002,0.59271,0.64484,0.31559,1.6349,2.2966,2.34082,0.001406,0.001406,0.001406
14,937.294,1.26057,1.1379,1.50975,0.63718,0.72549,0.66449,0.36282,1.48687,2.03262,2.01871,0.0013565,0.0013565,0.0013565
15,987.087,1.1902,1.03002,1.48774,0.34271,0.52147,0.23945,0.06711,2.6344,3.67408,3.63088,0.001307,0.001307,0.001307
16,1040.87,1.15837,1.03661,1.43447,0.80141,0.82353,0.87393,0.51495,1.3206,1.32416,1.93216,0.0012575,0.0012575,0.0012575
17,1097.86,1.10803,1.00758,1.41961,0.86576,0.75881,0.8748,0.53911,1.28512,1.33096,1.75755,0.001208,0.001208,0.001208
18,1154.8,1.17605,0.99526,1.40927,0.90602,0.75623,0.88076,0.55461,1.15507,1.13573,1.63357,0.0011585,0.0011585,0.0011585
19,1207.7,1.16874,0.98775,1.41667,0.9053,0.74982,0.87931,0.59638,1.1494,1.09033,1.63537,0.001109,0.001109,0.001109
20,1253.74,1.11066,0.94742,1.36394,0.95414,0.84314,0.90182,0.59091,1.18992,1.02549,1.6101,0.0010595,0.0010595,0.0010595
21,1299.37,1.12441,0.95126,1.40974,0.91478,0.84194,0.91584,0.53569,1.22325,0.99959,1.63173,0.00101,0.00101,0.00101
22,1372.99,1.15877,0.97941,1.39867,0.91562,0.86275,0.92468,0.5816,1.15505,1.00436,1.60881,0.0009605,0.0009605,0.0009605
23,1455.82,1.11952,0.92003,1.39073,0.93249,0.8126,0.90315,0.59738,1.09327,1.03045,1.55013,0.000911,0.000911,0.000911
24,1536.89,1.0975,0.9262,1.36988,0.81384,0.78431,0.82936,0.48778,1.20375,1.26832,1.55751,0.0008615,0.0008615,0.0008615
25,1618.89,1.12401,0.91782,1.42689,0.8917,0.80727,0.89875,0.54584,1.14444,1.04392,1.62043,0.000812,0.000812,0.000812
26,1705.89,1.10311,0.94626,1.37664,0.97868,0.90033,0.9437,0.56173,1.11584,0.89107,1.5821,0.0007625,0.0007625,0.0007625
27,1797.35,1.00659,0.86568,1.34915,0.93986,0.91939,0.9412,0.59859,1.15739,0.88327,1.63543,0.000713,0.000713,0.000713
28,1888.73,1.02807,0.86724,1.34826,0.97866,0.89912,0.94455,0.61424,1.07275,0.88084,1.54476,0.0006635,0.0006635,0.0006635
29,1972.49,1.03998,0.82411,1.33463,0.94992,0.88235,0.95295,0.62236,1.09799,0.84954,1.51921,0.000614,0.000614,0.000614
30,2019.67,0.99652,0.84508,1.32043,0.872,0.86275,0.92313,0.55181,1.16082,1.00277,1.55157,0.0005645,0.0005645,0.0005645
31,2065.05,1.12158,1.11032,1.57993,0.95206,0.84314,0.93896,0.60366,1.26491,0.93957,1.70952,0.000515,0.000515,0.000515
32,2110.76,0.99751,0.82774,1.45541,0.96948,0.88235,0.94033,0.64545,1.06786,0.90153,1.56317,0.0004655,0.0004655,0.0004655
33,2156.93,0.92424,0.7559,1.40381,0.91388,0.83241,0.92582,0.6508,1.05737,0.90758,1.5369,0.000416,0.000416,0.000416
34,2203.86,0.86503,0.74228,1.3763,0.93155,0.90196,0.9604,0.61216,1.09333,0.90386,1.58661,0.0003665,0.0003665,0.0003665
35,2265.82,0.88971,0.7367,1.40544,0.95795,0.89351,0.96028,0.60179,1.07365,0.8109,1.58613,0.000317,0.000317,0.000317
36,2320.34,0.87267,0.66865,1.36995,0.99472,0.86275,0.96183,0.6567,0.99915,0.75403,1.51057,0.0002675,0.0002675,0.0002675
37,2367.07,0.85863,0.70384,1.34836,0.96765,0.90196,0.96684,0.65544,1.02711,0.74027,1.52697,0.000218,0.000218,0.000218
38,2413.77,0.83843,0.66423,1.31397,0.95781,0.90196,0.96788,0.64723,1.03729,0.72472,1.53108,0.0001685,0.0001685,0.0001685
39,2459.52,0.83431,0.69043,1.29101,0.95828,0.88235,0.96658,0.63806,1.05242,0.7316,1.53398,0.000119,0.000119,0.000119
40,2505.17,0.83231,0.65521,1.33456,0.9944,0.88235,0.96708,0.64017,1.0479,0.73033,1.52283,6.95e-05,6.95e-05,6.95e-05
