epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9644,1.8742,2.93305,2.06516,0.004,0.85714,0.41105,0.20889,1.22552,3.28231,1.62613,0.00012,0.00012,0.00012
2,46.961,1.4435,2.20929,1.6481,0.0045,0.96429,0.61902,0.28292,1.19179,3.06331,1.63035,0.000253565,0.000253565,0.000253565
3,68.6023,1.28314,1.77012,1.56161,0.0045,0.96429,0.80229,0.43348,1.22198,2.97075,1.63959,0.0003802,0.0003802,0.0003802
4,89.9715,1.32538,1.74205,1.56579,0.00642,0.82143,0.73657,0.42837,1.34162,3.00181,1.76761,0.000499905,0.000499905,0.000499905
5,113.878,1.30538,1.58714,1.49001,0.69306,0.5,0.60759,0.23266,1.73533,3.04019,2.23616,0.00061268,0.00061268,0.00061268
6,139.814,1.2791,1.70653,1.55458,0.6373,0.46429,0.57522,0.20729,1.70231,3.11123,2.35437,0.000718525,0.000718525,0.000718525
7,165.484,1.38167,1.72291,1.61616,0.57433,0.67857,0.60121,0.19228,1.90184,2.92255,2.45577,0.00081744,0.00081744,0.00081744
8,189.596,1.33943,1.61401,1.55467,0.91132,0.71429,0.75372,0.33024,1.92253,2.66903,2.36439,0.000909425,0.000909425,0.000909425
9,210.373,1.36031,1.67534,1.62272,0.90466,0.67779,0.73732,0.42065,1.34308,2.35953,1.93783,0.00099448,0.00099448,0.00099448
10,231.329,1.3744,1.54196,1.63198,0.72004,0.71429,0.6612,0.3924,1.37906,2.51828,1.79814,0.00107261,0.00107261,0.00107261
11,252.271,1.29167,1.43004,1.56019,0.58785,0.64286,0.47737,0.13285,2.20852,4.28836,2.86762,0.0011438,0.0011438,0.0011438
12,273.209,1.35603,1.4504,1.56257,0.31038,0.53055,0.238,0.06578,2.15392,4.3881,2.52945,0.00120807,0.00120807,0.00120807
13,293.962,1.2997,1.43217,1.52811,0.2272,0.5,0.21827,0.0593,2.29525,3.98091,2.74788,0.0012654,0.0012654,0.0012654
14,315.258,1.3406,1.41658,1.53491,0.59601,0.71429,0.56648,0.20438,2.06869,2.48625,2.7548,0.00131581,0.00131581,0.00131581
15,336.164,1.24736,1.3467,1.46589,0.42912,0.78571,0.4979,0.1699,1.9582,2.74789,2.39763,0.001307,0.001307,0.001307
16,357.362,1.3302,1.43454,1.54373,0.9775,0.71429,0.81761,0.45438,1.51228,1.77545,1.95314,0.0012575,0.0012575,0.0012575
17,378.563,1.34471,1.32225,1.52447,0.92734,0.67857,0.82791,0.47037,1.44214,1.64815,1.87497,0.001208,0.001208,0.001208
18,399.787,1.295,1.29193,1.52757,0.79741,0.70318,0.74447,0.41387,1.71741,1.78992,2.1319,0.0011585,0.0011585,0.0011585
19,421.551,1.27245,1.30094,1.52194,0.92355,0.67857,0.75177,0.39213,1.59775,1.75491,1.98684,0.001109,0.001109,0.001109
20,447.708,1.12723,1.19204,1.4038,0.63998,0.64286,0.6307,0.26867,1.70689,2.34419,2.15825,0.0010595,0.0010595,0.0010595
21,473.091,1.21541,1.23624,1.46109,0.62097,0.64365,0.67535,0.32709,1.66052,2.33976,2.1488,0.00101,0.00101,0.00101
22,498.515,1.21183,1.19202,1.41352,0.87068,0.78571,0.78722,0.4456,1.49532,1.76146,1.93406,0.0009605,0.0009605,0.0009605
23,524.391,1.29027,1.20006,1.45589,0.86761,0.75,0.76157,0.41188,1.51943,1.66368,1.86829,0.000911,0.000911,0.000911
24,550.124,1.29406,1.2054,1.48368,0.87209,0.73087,0.83212,0.44821,1.50056,1.57079,1.84574,0.0008615,0.0008615,0.0008615
25,576.061,1.23829,1.14028,1.40808,0.83806,0.82143,0.86156,0.45982,1.60529,1.49771,1.86706,0.000812,0.000812,0.000812
26,601.72,1.17659,1.17951,1.44196,0.95033,0.85714,0.92075,0.4923,1.57619,1.35269,1.88354,0.0007625,0.0007625,0.0007625
27,627.518,1.15651,1.14685,1.44602,0.85142,0.85714,0.89734,0.52812,1.40439,1.30241,1.71101,0.000713,0.000713,0.000713
28,653.279,1.19122,1.11432,1.47056,0.80461,0.88268,0.86952,0.51322,1.42903,1.34496,1.69731,0.0006635,0.0006635,0.0006635
29,679,1.15054,0.99611,1.39644,0.69483,0.85714,0.84104,0.5218,1.44145,1.3564,1.71688,0.000614,0.000614,0.000614
30,704.741,1.1108,1.0244,1.37643,0.78266,0.78571,0.85808,0.54499,1.38948,1.39805,1.67188,0.0005645,0.0005645,0.0005645
31,730.46,1.17542,1.55035,1.61915,0.931,0.82143,0.91832,0.60179,1.33847,1.22934,1.66124,0.000515,0.000515,0.000515
32,756.07,1.14942,1.30426,1.62078,0.95263,0.82143,0.92686,0.5564,1.41218,1.28106,1.77482,0.0004655,0.0004655,0.0004655
33,781.325,1.07388,1.17616,1.56043,0.96031,0.86435,0.94504,0.55439,1.45074,1.3226,1.81681,0.000416,0.000416,0.000416
34,806.641,1.03177,1.15414,1.47168,0.9605,0.86879,0.95294,0.58962,1.40472,1.26694,1.72156,0.0003665,0.0003665,0.0003665
35,831.94,1.0177,1.14376,1.42674,0.89181,0.92857,0.95142,0.61694,1.28858,1.14636,1.607,0.000317,0.000317,0.000317
36,856.888,0.93374,1.11939,1.39,0.9894,0.82143,0.94718,0.60238,1.27513,1.15184,1.59384,0.0002675,0.0002675,0.0002675
37,881.969,1.08781,1.16002,1.46419,1,0.81999,0.94549,0.57988,1.2657,1.15446,1.57163,0.000218,0.000218,0.000218
38,906.84,0.91124,1.02947,1.43973,0.99467,0.82143,0.94558,0.64571,1.1844,1.09974,1.52008,0.0001685,0.0001685,0.0001685
39,931.684,0.86315,0.98001,1.29788,1,0.87659,0.95808,0.65691,1.15749,1.08569,1.49558,0.000119,0.000119,0.000119
40,956.413,0.88819,1.03237,1.38684,1,0.889,0.96121,0.65983,1.14169,1.0638,1.47859,6.95e-05,6.95e-05,6.95e-05
