epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68503,1.59135,2.73687,1.68848,0.50709,0.39413,0.46776,0.30163,1.96758,2.60477,1.98992,0.00053344,0.00053344,0.00053344
2,11.0419,1.30211,1.86369,1.4791,0.6603,0.5269,0.54259,0.37552,1.75306,2.21821,1.68433,0.0010621,0.0010621,0.0010621
3,16.17,1.23401,1.51338,1.39918,0.79554,0.53403,0.56357,0.37874,1.85228,1.82197,1.74205,0.00156897,0.00156897,0.00156897
4,21.3107,1.23383,1.33354,1.38703,0.712,0.55066,0.55828,0.38705,1.82868,1.90458,1.71509,0.00156798,0.00156798,0.00156798
5,26.3701,1.22777,1.24444,1.3597,0.74802,0.54204,0.58803,0.40818,1.78341,2.0175,1.67178,0.00153497,0.00153497,0.00153497
6,31.4029,1.17167,1.16693,1.34356,0.79863,0.55321,0.59125,0.40875,1.75989,1.66846,1.68966,0.00150197,0.00150197,0.00150197
7,36.2455,1.18127,1.12218,1.32581,0.8053,0.542,0.59459,0.40991,1.76511,1.65217,1.65035,0.00146896,0.00146896,0.00146896
8,41.388,1.1679,1.12756,1.33709,0.78019,0.55603,0.60103,0.40934,1.77421,1.61791,1.62412,0.00143595,0.00143595,0.00143595
9,46.2151,1.13205,1.03307,1.30157,0.72929,0.56712,0.60167,0.42201,1.7574,1.55474,1.61226,0.00140295,0.00140295,0.00140295
10,50.9768,1.13974,1.03177,1.29739,0.77548,0.56309,0.62358,0.43504,1.72636,1.57095,1.61805,0.00136994,0.00136994,0.00136994
11,56.0117,1.09666,1.00079,1.29563,0.82063,0.55762,0.6183,0.43402,1.66799,1.54612,1.59797,0.00133693,0.00133693,0.00133693
12,60.8756,1.09987,1.03775,1.29468,0.80544,0.56083,0.61526,0.43117,1.67199,1.64519,1.62099,0.00130393,0.00130393,0.00130393
13,66.1464,1.05707,0.93756,1.26544,0.74321,0.56901,0.61126,0.42347,1.77583,1.65154,1.63776,0.00127092,0.00127092,0.00127092
14,71.0703,1.11051,0.94678,1.28857,0.78145,0.56633,0.61915,0.43539,1.70167,1.50889,1.58155,0.00123791,0.00123791,0.00123791
15,75.8485,1.0752,0.92906,1.25926,0.75787,0.56522,0.62522,0.42222,1.72142,1.51438,1.60832,0.00120491,0.00120491,0.00120491
16,80.8363,1.04168,0.93159,1.22985,0.81073,0.57485,0.62695,0.43915,1.67278,1.4553,1.57142,0.0011719,0.0011719,0.0011719
17,85.5444,1.02968,0.89903,1.23072,0.81668,0.5787,0.64674,0.45206,1.6222,1.37435,1.55409,0.00113889,0.00113889,0.00113889
18,90.3433,1.03032,0.8681,1.23794,0.83225,0.55563,0.62972,0.42682,1.69614,1.54443,1.58372,0.00110589,0.00110589,0.00110589
19,95.2766,1.04213,0.90059,1.23566,0.72518,0.58861,0.64396,0.44366,1.62986,1.39022,1.57841,0.00107288,0.00107288,0.00107288
20,100.193,1.02609,0.88194,1.22747,0.83671,0.56959,0.64584,0.4426,1.64055,1.36038,1.55474,0.00103987,0.00103987,0.00103987
21,105.278,1.00643,0.85528,1.21419,0.76184,0.57493,0.62829,0.43185,1.69916,1.72613,1.58089,0.00100687,0.00100687,0.00100687
22,110.054,1.02005,0.83963,1.21843,0.7636,0.59869,0.64479,0.45172,1.62221,1.38253,1.56392,0.000973861,0.000973861,0.000973861
23,114.876,0.98127,0.83355,1.21339,0.81559,0.58707,0.64951,0.45022,1.60449,1.37179,1.55605,0.000940855,0.000940855,0.000940855
24,119.813,0.99583,0.80816,1.2188,0.76997,0.60266,0.64613,0.44382,1.66603,1.44394,1.58,0.000907848,0.000907848,0.000907848
25,124.629,0.98986,0.83509,1.20082,0.74701,0.59807,0.6578,0.45125,1.64568,1.37243,1.55913,0.000874842,0.000874842,0.000874842
26,129.521,0.948,0.78715,1.17192,0.7589,0.59556,0.65311,0.45431,1.64817,1.37534,1.54374,0.000841835,0.000841835,0.000841835
27,134.41,0.96645,0.8047,1.18479,0.74456,0.59849,0.64878,0.4579,1.63453,1.37238,1.55147,0.000808828,0.000808828,0.000808828
28,139.531,0.91913,0.75571,1.16198,0.77055,0.59185,0.64793,0.45111,1.61588,1.36303,1.5708,0.000775822,0.000775822,0.000775822
29,144.437,0.95901,0.77426,1.18253,0.79999,0.58026,0.63617,0.45152,1.63834,1.3812,1.57518,0.000742815,0.000742815,0.000742815
30,149.204,0.9104,0.74378,1.17245,0.82258,0.56161,0.62693,0.4369,1.62889,1.42197,1.58495,0.000709809,0.000709809,0.000709809
31,154.085,0.93087,0.73706,1.17299,0.73051,0.59113,0.64297,0.45069,1.60602,1.37291,1.55195,0.000676802,0.000676802,0.000676802
32,158.906,0.90841,0.73107,1.13268,0.76139,0.60137,0.6648,0.46029,1.59993,1.30395,1.52128,0.000643795,0.000643795,0.000643795
33,163.737,0.93468,0.75026,1.15612,0.80573,0.57245,0.64589,0.45285,1.63387,1.3568,1.53692,0.000610789,0.000610789,0.000610789
34,168.623,0.92974,0.74901,1.15925,0.75515,0.59599,0.65428,0.45726,1.59403,1.35556,1.52579,0.000577782,0.000577782,0.000577782
35,173.468,0.92021,0.719,1.15773,0.81676,0.59429,0.66146,0.46516,1.59804,1.34132,1.53574,0.000544776,0.000544776,0.000544776
36,178.298,0.90209,0.7069,1.1477,0.76533,0.60803,0.66212,0.46273,1.59512,1.33091,1.53157,0.000511769,0.000511769,0.000511769
37,183.198,0.89159,0.71502,1.14687,0.79542,0.59194,0.66319,0.46158,1.58833,1.32151,1.53742,0.000478762,0.000478762,0.000478762
38,188.007,0.86274,0.67225,1.11921,0.77641,0.59872,0.66646,0.47174,1.593,1.31128,1.53376,0.000445756,0.000445756,0.000445756
39,192.931,0.84643,0.65491,1.1196,0.76836,0.60003,0.65804,0.46527,1.58699,1.32303,1.51856,0.000412749,0.000412749,0.000412749
40,197.69,0.87088,0.69421,1.11903,0.76533,0.60289,0.65938,0.46157,1.5974,1.32242,1.52711,0.000379743,0.000379743,0.000379743
41,203.93,0.81177,0.70978,1.12307,0.73443,0.6223,0.66803,0.46496,1.59518,1.296,1.53096,0.000346736,0.000346736,0.000346736
42,208.806,0.84233,0.65206,1.11106,0.75298,0.61132,0.66416,0.46439,1.60398,1.31297,1.5345,0.000313729,0.000313729,0.000313729
43,213.943,0.85057,0.6661,1.12426,0.78119,0.60119,0.66479,0.46372,1.60564,1.31942,1.53645,0.000280723,0.000280723,0.000280723
44,218.983,0.83512,0.6613,1.11561,0.75165,0.61268,0.6644,0.46745,1.59325,1.29833,1.5296,0.000247716,0.000247716,0.000247716
45,223.743,0.81371,0.63428,1.09819,0.76741,0.60081,0.66631,0.46957,1.57471,1.2868,1.52014,0.00021471,0.00021471,0.00021471
46,228.491,0.82786,0.64132,1.10823,0.74351,0.61346,0.66473,0.47118,1.56529,1.29561,1.52515,0.000181703,0.000181703,0.000181703
47,233.363,0.80677,0.62107,1.09836,0.78555,0.6049,0.66726,0.4688,1.56642,1.2854,1.52337,0.000148696,0.000148696,0.000148696
48,238.23,0.82828,0.64453,1.10356,0.7835,0.6094,0.66861,0.47297,1.56158,1.29533,1.51988,0.00011569,0.00011569,0.00011569
49,243.22,0.80347,0.62473,1.09644,0.74967,0.62078,0.66676,0.4721,1.56,1.28316,1.51904,8.26832e-05,8.26832e-05,8.26832e-05
50,248.033,0.79991,0.61879,1.1011,0.75408,0.6185,0.66672,0.47294,1.55956,1.28014,1.5181,4.96766e-05,4.96766e-05,4.96766e-05
