epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.773,1.17477,1.80598,1.32825,0.69245,0.52462,0.54493,0.32478,1.60949,1.5297,1.5471,0.000546086,0.000546086,0.000546086
2,151.748,1.03648,1.15053,1.2318,0.71658,0.55001,0.6068,0.38912,1.57399,1.42057,1.55211,0.00109085,0.00109085,0.00109085
3,159.565,1.07571,1.08208,1.22474,0.69021,0.549,0.59804,0.38496,1.63103,1.49696,1.556,0.0016246,0.0016246,0.0016246
4,167.302,1.09071,1.08479,1.22928,0.71164,0.53567,0.59909,0.37118,1.69231,1.46851,1.59943,0.00161749,0.00161749,0.00161749
5,174.96,1.08721,1.04918,1.22912,0.67925,0.55976,0.58892,0.38991,1.61208,1.44356,1.53487,0.00160099,0.00160099,0.00160099
6,182.473,1.07282,1.03677,1.23481,0.77947,0.54708,0.62262,0.40565,1.60743,1.37767,1.5429,0.00158448,0.00158448,0.00158448
7,190.253,1.06074,1.03631,1.23092,0.79821,0.53141,0.6111,0.40737,1.56887,1.36612,1.52188,0.00156798,0.00156798,0.00156798
8,198.041,1.06993,1.0131,1.21692,0.76991,0.53905,0.6095,0.40154,1.5719,1.38242,1.52923,0.00155148,0.00155148,0.00155148
9,205.494,1.05356,0.99612,1.21457,0.66569,0.56237,0.6008,0.40718,1.56718,1.40003,1.50726,0.00153497,0.00153497,0.00153497
10,213.108,1.09471,1.01437,1.22876,0.68627,0.56482,0.60427,0.39126,1.63117,1.40643,1.53102,0.00151847,0.00151847,0.00151847
11,220.629,1.01824,0.97948,1.20457,0.651,0.6157,0.62943,0.40155,1.59232,1.35419,1.53527,0.00150197,0.00150197,0.00150197
12,228.148,1.05212,0.97819,1.20472,0.69304,0.56742,0.60711,0.3977,1.61302,1.43319,1.57337,0.00148546,0.00148546,0.00148546
13,236.142,1.04549,0.9683,1.20282,0.64754,0.61628,0.62695,0.40061,1.55573,1.39948,1.49932,0.00146896,0.00146896,0.00146896
14,243.702,1.02958,0.95718,1.20506,0.66459,0.59379,0.62251,0.40022,1.58625,1.36459,1.5128,0.00145246,0.00145246,0.00145246
15,251.262,0.98641,0.94801,1.19769,0.70849,0.56223,0.6251,0.40592,1.58022,1.35283,1.55624,0.00143595,0.00143595,0.00143595
16,258.814,1.03284,0.94041,1.18188,0.70808,0.55229,0.60895,0.40711,1.54936,1.40465,1.51202,0.00141945,0.00141945,0.00141945
17,266.369,0.97986,0.93271,1.17345,0.65246,0.58792,0.61217,0.40993,1.55334,1.33071,1.49515,0.00140295,0.00140295,0.00140295
18,274.011,1.01074,0.92976,1.18977,0.76203,0.53652,0.60905,0.4059,1.56414,1.35017,1.5192,0.00138644,0.00138644,0.00138644
19,281.666,1.00956,0.95424,1.19697,0.64987,0.57342,0.60214,0.4039,1.58363,1.47848,1.51362,0.00136994,0.00136994,0.00136994
20,289.214,1.00304,0.91947,1.17893,0.72576,0.5619,0.60274,0.39782,1.57531,1.45335,1.54903,0.00135344,0.00135344,0.00135344
21,296.732,1.00861,0.92574,1.17698,0.65392,0.60243,0.62651,0.41696,1.53241,1.2959,1.4887,0.00133693,0.00133693,0.00133693
22,304.456,0.97262,0.88569,1.17403,0.7519,0.5525,0.6238,0.41079,1.53096,1.32352,1.51219,0.00132043,0.00132043,0.00132043
23,311.976,0.95274,0.88952,1.15933,0.67436,0.57923,0.62767,0.41009,1.52065,1.33374,1.51306,0.00130393,0.00130393,0.00130393
24,319.601,0.98088,0.91227,1.17573,0.76244,0.53857,0.61591,0.40263,1.58329,1.3333,1.53477,0.00128742,0.00128742,0.00128742
